股票型,161718,招商沪深300高贝塔指数分级,0.9610,1.5090
股票型,320022,诺安研究精选股票,0.9590,1.6660
股票型,410008,华富中证100,1.0871,1.0871
股票型,510030,华宝上证180价值ETF,4.1460,1.4190
股票型,510050,华夏上证50ETF,2.50,3.3040
股票型,510060,工银上证央企50ETF,1.8453,1.1803
股票型,510070,鹏华上证民企50ETF,1.8340,1.5720
股票型,510110,海富通上证周期ETF,3.3290,1.3360
股票型,110021,易方达上证中盘联接,1.4290,1.4290
股票型,165309,建信沪深300,1.1245,1.1245
股票型,160127,南方新兴消费分级,1.1140,1.6220
股票型,000008,嘉实中证500ETF联接,1.9881,1.9881
股票型,159901,易方达深证100ETF,4.6035,4.4849
股票型,159902,华夏中小板ETF,3.9940,4.1140
股票型,159903,南方深成ETF,1.3387,0.9878
股票型,159911,鹏华深证民营ETF,5.3240,1.6132
股票型,240005,华宝多策略增长,0.7741,4.5229
股票型,159921,诺安中小板等权重ETF,1.96,1.96
股票型,159922,嘉实中证500ETF,7.5216,2.1090
股票型,159923,大成中证100ETF,1.3910,1.3910
股票型,159924,景顺长城沪深300等权重ETF,1.6580,1.6580
股票型,159925,南方开元沪深300ETF,1.5237,1.3359
股票型,159913,交银深证300ETF,1.50,1.50
股票型,159915,易方达创业板ETF,2.6684,3.0569
股票型,290010,泰信中证200,1.2360,1.2560
股票型,310318,申万菱信沪深300指数增强,2.0089,2.8014
股票型,165520,信诚中证800有色指数分级,1.0680,1.1970
股票型,159930,汇添富中证能源ETF,0.9781,0.9781
股票型,159928,汇添富中证主要消费ETF,1.4289,1.4289
股票型,159931,汇添富中证金融地产ETF,1.6108,1.6108
股票型,159929,汇添富中证医药卫生ETF,1.5919,1.5919
股票型,050024,博时上证自然资源联接,0.7438,0.7438
股票型,540007,汇丰晋信中小盘股票,1.2294,1.2494
股票型,540008,汇丰晋信低碳先锋,2.0289,2.1289
股票型,540009,汇丰晋信消费红利,0.9428,1.0178
股票型,540010,汇丰晋信科技先锋,2.5443,2.5443
股票型,540012,汇丰晋信恒生龙头指数A,1.4376,1.4376
股票型,660008,农银沪深300,1.2262,1.2262
股票型,160616,鹏华中证500,1.5130,1.5130
股票型,450008,国富沪深300,1.4210,1.4210
股票型,450009,国富中小盘,1.9590,1.9590
股票型,110003,易方达上证50,1.0832,2.9332
股票型,519686,交银180治理联接,1.2050,1.2050
股票型,162509,国联安双禧中证100,1.4260,1.2010
股票型,159907,广发中小板300ETF,1.7205,1.5632
股票型,160119,南方中证500ETF联接(LOF),1.8206,1.9206
股票型,370023,上投中证消费指数,1.4760,1.6560
股票型,510650,上证金融地产ETF,1.5632,1.5632
股票型,519706,交银深证300联接,1.43,1.43
股票型,000312,华安沪深300增强A,1.5250,1.5250
股票型,160133,南方天元,1.9020,1.9020
股票型,000409,鹏华环保产业股票,1.6360,1.6360
股票型,519677,银河定投宝中证腾安指数,1.7570,1.7570
股票型,000711,嘉实医疗保健股票,1.42,1.42
股票型,000688,景顺长城研究精选股票,1.4690,1.4890
股票型,165521,信诚中证800金融指数分级,1.0520,1.6570
股票型,000780,鹏华医疗保健股票,1.3760,1.3760
