510070,鹏华上证民企50ETF,1.4790,1.4790
510110,海富通上证周期ETF,1.2150,1.2150
110021,易方达上证中盘联接,1.3253,1.3253
165309,建信沪深300,,
160127,南方新兴消费分级,1.5020,1.5020
000008,嘉实中证500ETF联接,1.8366,1.8366
159901,易方达深证100ETF,4.0816,4.0816
159902,华夏中小板ETF,3.7570,3.7570
159903,南方深成ETF,0.8989,0.8989
159911,鹏华深证民营ETF,1.4685,1.4685
240005,华宝多策略增长,4.4467,4.4467
159921,诺安中小板等权重ETF,1.8060,1.8060
159922,嘉实中证500ETF,1.9403,1.9403
159923,大成中证100ETF,1.2920,1.2920
159924,景顺长城沪深300等权重ETF,1.5370,1.5370
159925,南方开元沪深300ETF,1.2316,1.2316
159913,交银深证300ETF,1.3850,1.3850
159915,易方达创业板ETF,2.6953,2.6953
290010,泰信中证200,1.1530,1.1530
310318,申万菱信沪深300指数增强,2.6454,2.6454
165520,信诚中证800有色指数分级,1.1330,1.1330
159930,汇添富中证能源ETF,0.9109,0.9109
159928,汇添富中证主要消费ETF,1.3623,1.3623
159931,汇添富中证金融地产ETF,1.4477,1.4477
159929,汇添富中证医药卫生ETF,1.5033,1.5033
050024,博时上证自然资源联接,0.6899,0.6899
540007,汇丰晋信中小盘股票,1.1209,1.1209
540008,汇丰晋信低碳先锋,1.9537,1.9537
540009,汇丰晋信消费红利,0.9548,0.9548
540010,汇丰晋信科技先锋,2.2601,2.2601
540012,汇丰晋信恒生龙头指数A,1.3589,1.3589
660008,农银沪深300,1.1335,1.1335
160616,鹏华中证500,1.3910,1.3910
450008,国富沪深300,1.3080,1.3080
450009,国富中小盘,1.7920,1.7920
000780,鹏华医疗保健股票,1.2580,1.2580
160219,国泰国证医药卫生指数分级,1.4938,1.4938
512120,华安中证细分医药ETF,1.3770,1.3770
512110,华安中证细分地产ETF,1.7520,1.7520
159932,大成中证500深市ETF,1.7160,1.7160
159933,国投瑞银金融地产ETF,1.4915,1.4915
163114,申万中证环保产业指数分级,1.7070,1.7070
000418,景顺长城成长之星,1.4020,1.4020
163113,申万菱信中证申万证券行业指数分级,1.8711,1.8711
000471,富国城镇发展股票,2.4320,2.4320
000368,汇添富沪深300安中指数,1.3764,1.3764
000457,上投摩根核心成长,1.6450,1.6450
162216,泰达中证500分级,2.0558,2.0558
162510,国联安双力中小板综指(LOF),1.8610,1.8610
162711,广发中证500ETF联接(LOF),1.4672,1.4672
159927,鹏华沪深300ETF,1.5765,1.5765
000751,嘉实新兴产业股票,1.5390,1.5390
512610,嘉实中证医药卫生ETF,1.5011,1.5011
160628,鹏华地产分级,1.7060,1.7060
000761,国富健康优质生活股票,1.1120,1.1120
000309,大摩品质生活股票,1.3960,1.3960
161825,银华中证800分级,1.7420,1.7420
160625,鹏华证券保险分级,1.7430,1.7430
000478,建信中证500指数增强,,
510520,诺安中证500ETF,1.8179,1.8179
000313,华安沪深300增强C,1.3710,1.3710
000746,招商行业精选股票,1.4650,1.4650
159936,广发中证全指可选消费ETF,1.6648,1.6648
000586,景顺中小板创业板精选股票,1.5950,1.5950
160415,华安深证300,1.3380,1.3380
160417,华安沪深300指数分级,1.3860,1.3860
000524,上投摩根民生需求,2.21,2.21
000577,安信价值精选股票,1.79,1.79
000729,建信中小盘先锋股票,,
000592,建信改革红利股票,,
161024,富国中证军工指数分级,1.9560,1.9560
512230,景顺长城中证医药卫生ETF,1.3770,1.3770
512210,景顺长城中证800食品饮料ETF,1.2610,1.2610
163115,申万菱信中证军工指数分级,1.8656,1.8656
000696,汇添富环保行业股票,1.4420,1.4420
165519,信诚中证800医药指数分级,1.4150,1.4150
000596,前海开源中证军工指数,1.9650,1.9650
000803,工银研究精选股票,1.4570,1.4570
512300,中证500医药卫生ETF,1.3459,1.3459
000826,广发百发100指数A,1.3710,1.3710
161910,万家中创指数分级,1.8868,1.8868
510260,诺安上证新兴ETF,1.3040,1.3040
000613,国寿安保沪深300指数,1.5387,1.5387
161720,招商中证全指证券公司指数分级,0.7130,0.7130
519673,银河康乐,1.3590,1.3590
000656,前海开源沪深300指数,1.3290,1.3290
162010,长城久兆中小板300,1.8620,1.8620
159938,广发中证全指医药卫生ETF,1.3736,1.3736
519975,长信量化中小盘,1.1270,1.1270
001044,嘉实新消费股票,0.9270,0.9270
001048,富国新兴产业股票,1.2550,1.2550
000893,工银创新动力,1.1570,1.1570
000176,嘉实沪深300指数研究增强,1.0719,1.0719
000960,招商医药健康产业股票,1.0810,1.0810
160629,鹏华传媒分级,1.4430,1.4430
001036,嘉实企业变革股票,0.9760,0.9760
000867,华宝品质生活股票,1.0180,1.0180
000950,易方达沪深300非银行ETF联接,0.7549,0.7549
000978,景顺长城量化精选,1.22,1.22
000913,农银汇理医疗保健主题,1.0409,1.0409
000373,华安中证细分医药ETF联接A,1.2260,1.2260
160919,大成产业升级股票,3.3760,3.3760
000961,天弘沪深300指数型发起式,1.0147,1.0147
540006,汇丰晋信大盘,2.2412,2.2412
000942,广发信息技术联接,1.2117,1.2117
160806,长盛同庆中证800指数(LOF),1.2190,1.2190
000828,泰达转型机遇,1.1820,1.1820
180033,银华上证50等权联接,1.2230,1.2230
164508,国富中证100指数增强分级,0.8410,0.8410
000962,天弘中证500指数型发起式,1.1254,1.1254
001015,华夏沪深300指数增强A,1.1240,1.1240
161223,国投瑞银中证创业指数分级,0.85,0.85
001097,华泰柏瑞积极优选股票,0.7170,0.7170
000628,大成高新技术产业,1.0180,1.0180
161607,融通巨潮100,2.5370,2.5370
159935,景顺长城中证500ETF,1.8472,1.8472
000985,嘉实逆向策略股票,1.1050,1.1050
090012,大成深证成长40联接,1.0330,1.0330
163407,兴全沪深300指数(LOF),1.3001,1.3001
000854,鹏华养老产业,1.3850,1.3850
202015,南方开元沪深300ETF联接,1.3954,1.3954
000756,建信潜力新蓝筹股票,,
510020,博时上证超大盘ETF,0.8303,0.8303
162714,广发深证100指数分级,1.1606,1.1606
159940,广发中证全指金融地产ETF,0.7621,0.7621
001064,广发环保指数,0.8294,0.8294
001054,工银新金融股票,0.8870,0.8870
399011,中海医疗保健主题股票,1.7130,1.7130
001040,新华策略精选股票,0.9080,0.9080
161028,富国中证新能源汽车指数分级,0.9440,0.9440
510160,南方中证小康产业ETF,1.3216,1.3216
519714,交银消费新驱动股票,1.8620,1.8620
000248,汇添富中证主要消费ETF联接,0.9376,0.9376
001043,工银美丽城镇股票,0.8860,0.8860
001126,上投摩根卓越制造股票,0.7420,0.7420
512600,嘉实中证主要消费ETF,1.4041,1.4041
159905,工银深证红利ETF,1.0427,1.0427
512310,南方中证500工业ETF,0.8088,0.8088
340006,兴全全球视野股票,4.6122,4.6122
160221,国泰国证有色金属行业指数分级,0.6624,0.6624
000820,华安中证高分红指数增强A,0.9630,0.9630
000975,MSCI中国A股ETF联接基金,0.9790,0.9790
410010,华富中小板指数增强,1.6170,1.6170
001105,信达澳银转型创新股票,0.6930,0.6930
510680,万家上证380ETF,1.6498,1.6498
001051,华夏上证50ETF联接,0.7630,0.7630
001028,华安物联网主题股票,0.8110,0.8110
512990,MSCI中国A股ETF,1.0303,1.0303
164304,新华中证环保产业指数分级,1.2920,1.2920
165522,信诚中证TMT产业指数分级,1.5950,1.5950
000996,中银新动力股票,1.0870,1.0870
000974,安信消费医药股票,1.01,1.01
000821,华安中证高分红指数增强C,0.9377,0.9377
000971,诺安新经济,1.03,1.03
161026,富国中证国企改革指数分级,1.2650,1.2650
160626,鹏华信息分级,1.7330,1.7330
000916,前海开源股息率100强股票,1.2310,1.2310
001009,上投摩根安全战略,1.0480,1.0480
159939,广发中证全指信息技术ETF,1.2765,1.2765
165515,信诚沪深300分级,1.3810,1.3810
160224,国泰深证TMT50指数分级,0.8385,0.8385
001047,光大保德信国企改革股票,0.9340,0.9340
000925,汇添富外延增长主题,1.2890,1.2890
000697,汇添富移动互联股票,1.8440,1.8440
000835,华润元大富时中国A50指数,1.2830,1.2830
590007,中邮上证380增强,1.9770,1.9770
001016,华夏沪深300指数增强C,1.12,1.12
001027,前海开源中证大农业指数增强,0.8660,0.8660
000827,广发百发100指数E,1.3690,1.3690
164402,前海开源中航军工,1.2320,1.2320
000376,华安中证细分医药ETF联接C,1.2170,1.2170
161027,富国中证全指证券公司指数分级,0.63,0.63
110020,易方达沪深300发起式ETF联接,1.1328,1.1328
519195,万家品质,1.1982,1.1982
001549,天弘上证50指数C,0.8653,0.8653
001178,前海开源再融资股票,0.9940,0.9940
161715,招商中证大宗商品指数分级,1.0160,1.0160
160136,南方中证国有企业改革指数分级,0.6965,0.6965
000549,华安大国新经济股票,1.7210,1.7210
160418,华安中证银行指数分级,0.7893,0.7893
001072,华安智能装备主题股票,0.8680,0.8680
001113,南方大数据100,0.8615,0.8615
160632,鹏华酒分级,0.8250,0.8250
001133,广发中证全指可选消费ETF联接,0.8615,0.8615
161123,易方达重组分级,0.6770,0.6770
161122,易方达生物分级,0.7498,0.7498
001361,景顺长城中证TMT150ETF联接,0.7080,0.7080
168001,国寿安保中证养老产业指数分级,0.9120,0.9120
001496,工银聚焦30股票,1.01,1.01
001426,南方大数据300C,0.8897,0.8897
001455,景顺长城中证500ETF联接,0.9160,0.9160
160137,南方中证互联网指数分级,0.8974,0.8974
167503,安信一带一路分级,0.5840,0.5840
168203,中融国证钢铁行业指数分级,0.5440,0.5440
168204,中融中证煤炭指数分级,0.7310,0.7310
001409,工银互联网加股票,0.6620,0.6620
001149,汇丰晋信恒生龙头指数C,1.3637,1.3637
001561,天弘中证移动互联网C,0.7614,0.7614
001557,天弘中证全指房地产C,0.8082,0.8082
001042,华夏领先股票,0.7640,0.7640
160630,鹏华国防,1.3540,1.3540
159946,广发中证全指主要消费ETF,0.9145,0.9145
502036,大成中证互联网金融指数分级,0.8620,0.8620
257060,国联安商品ETF联接,0.5810,0.5810
001459,广发中证全指原材料ETF联接,1.0264,1.0264
502016,长信中证一带一路主题指数分级,1.0610,1.0610
161833,银华中证一带一路主题指数分级,1.0020,1.0020
001162,前海开源优势蓝筹股票A,1.0270,1.0270
519606,国泰金鑫,1.3990,1.3990
000955,南方产业活力,1.2250,1.2250
001008,工银国企改革股票,0.9540,0.9540
502020,国金上证50分级,0.7085,0.7085
502030,中海中证高铁产业指数分级,0.8880,0.8880
001559,天弘中证大宗商品股票指数型发起式C,0.7185,0.7185
001552,天弘中证证券保险A,0.7509,0.7509
502040,长盛上证50指数分级,1.09,1.09
001539,嘉实中证金融地产ETF联接,1.0695,1.0695
000831,工银医疗保健,1.5090,1.5090
000884,民生加银优选,1.0920,1.0920
001104,华安新丝路主题股票,0.8710,0.8710
470068,汇添富深证300ETF联接,1.4693,1.4693
510430,银华上证50等权ETF,1.4240,1.4240
001577,嘉实低价策略股票,0.9820,0.9820
502056,广发医疗指数分级,0.9419,0.9419
001482,上投摩根新兴服务股票,1.0580,1.0580
001553,天弘中证证券保险C,0.7499,0.7499
161816,银华中证等权90分级,1.2070,1.2070
001884,中欧沪深300指数增强(LOF)E,1.2644,1.2644
001291,大摩量化多策略股票,0.9320,0.9320
001351,诺安中证500ETF联接,0.9463,0.9463
160635,鹏华医药分级,1.0120,1.0120
165316,建信有色金属分级,,
001591,天弘中证环保产业C,0.9209,0.9209
001589,天弘中证800指数C,0.8610,0.8610
001404,招商移动互联网产业股票基金,0.9460,0.9460
160631,鹏华银行分级,0.85,0.85
001473,建信大安全战略精选股票,,
001736,圆信永丰优加生活,,
001313,上投摩根智慧互联股票,0.7770,0.7770
001548,天弘上证50指数A,0.8660,0.8660
001590,天弘中证环保产业A,0.9218,0.9218
001587,天弘中证100指数C,0.8668,0.8668
001586,天弘中证100指数A,0.8675,0.8675
001588,天弘中证800指数A,0.8617,0.8617
001651,工银新蓝筹股票,1.0160,1.0160
001458,广发中证全指主要消费ETF联接,1.0407,1.0407
512340,南方中证500原材料指数ETF,0.8012,0.8012
001236,博时丝路主题股票,0.7440,0.7440
001416,嘉实事件驱动股票,0.8330,0.8330
001070,建信信息产业股票,,
164401,前海开源健康分级,1.1220,1.1220
001542,国泰互联网+股票,1.0960,1.0960
001166,建信环保产业股票,,
001214,华泰柏瑞中证500ETF联接,0.6912,0.6912
510710,博时上证50ETF,0.7073,0.7073
168201,中融一带一路分级,0.5730,0.5730
001245,工银生态环境股票,0.9470,0.9470
001611,天弘中证休闲娱乐指数A,0.8837,0.8837
001612,天弘中证休闲娱乐指数C,0.8831,0.8831
001632,天弘中证食品饮料指数C,0.9663,0.9663
001626,国泰央企改革股票,1.0110,1.0110
161030,富国中证体育产业指数分级,0.9630,0.9630
160420,华安创业板50指数分级,0.68,0.68
502026,鹏华新丝路分级,1.0360,1.0360
167301,方正富邦保险主题指数分级,0.9480,0.9480
164907,交银中证互联网金融指数分级,0.85,0.85
000866,华宝兴业制造,1.2020,1.2020
001541,汇添富民营新动力股票,1.0290,1.0290
160634,鹏华环保分级,0.8140,0.8140
160636,鹏华互联网分级,0.7890,0.7890
166007,中欧沪深300指数增强(LOF)A,1.2654,1.2654
167901,华宸未来沪深300,1.40,1.40
200002,长城久泰沪深300指数,4.2590,4.2590
001766,上投摩根医疗健康股票,1,1
001556,天弘中证全指房地产A,0.8092,0.8092
001554,天弘中证全指运输A,0.8072,0.8072
001555,天弘中证全指运输C,0.8060,0.8060
001560,天弘中证移动互联网A,0.7625,0.7625
001558,天弘中证大宗商品股票指数型发起式A,0.7193,0.7193
001583,安信新常态股票,1.0560,1.0560
001638,前海开源优势蓝筹股票C,1.0020,1.0020
161629,融通证券分级,0.8010,0.8010
164818,工银中证传媒指数分级,0.6079,0.6079
001469,广发中证全指金融地产ETF联接,0.8670,0.8670
159912,汇添富深证300ETF,1.4240,1.4240
001319,农银信息传媒股票,0.9226,0.9226
160808,长盛同瑞200分级,1.7130,1.7130
161017,富国中证500,1.9870,1.9870
161211,国投瑞银沪深300金融地产ETF联接,1.2285,1.2285
161213,国投瑞银消费服务指数,1.3960,1.3960
160637,鹏华创业板分级,0.7680,0.7680
