date,PM25,PM10,O3,SO2,NO2,CO,AQI,grade,factor
2015-05-08,39,46,76,10,42,15,76,良,O3
2015-05-07,67,59,94,12,49,18,94,良,O3
2015-05-06,53,63,84,14,50,18,84,良,O3
2015-05-05,30,58,75,11,49,13,75,良,O3
2015-05-04,99,79,92,17,63,25,99,良,PM2.5
2015-05-03,82,59,75,14,40,23,82,良,PM2.5
2015-05-02,68,55,67,9,37,20,68,良,PM2.5
2015-05-01,60,47,90,9,25,15,90,良,O3
2015-04-30,95,68,85,23,62,23,95,良,PM2.5
2015-04-29,64,50,38,13,54,20,64,良,PM2.5
2015-04-28,97,71,112,20,50,25,112,轻度污染,O3
2015-04-27,64,62,90,17,35,18,90,良,O3
2015-04-26,74,65,140,19,55,15,140,轻度污染,O3
2015-04-25,110,83,101,24,105,28,110,轻度污染,PM2.5
2015-04-24,85,79,49,23,108,23,108,轻度污染,NO2
2015-04-23,87,69,113,22,89,20,113,轻度污染,O3
2015-04-22,115,83,149,23,102,25,149,轻度污染,O3
2015-04-21,55,67,80,15,79,18,80,良,O3
2015-04-20,63,62,60,13,49,20,63,良,PM2.5
2015-04-19,156,90,35,21,93,30,156,中度污染,PM2.5
2015-04-18,84,72,50,17,68,23,84,良,PM2.5
2015-04-17,46,93,62,11,44,15,93,良,PM10
2015-04-16,93,91,60,28,95,23,95,良,NO2
2015-04-15,102,80,87,27,106,23,106,轻度污染,NO2
2015-04-14,93,66,61,16,79,23,93,良,PM2.5
2015-04-13,64,66,51,16,47,18,66,良,PM10
2015-04-12,69,58,95,14,55,13,95,良,O3
2015-04-11,60,56,81,14,58,13,81,良,O3
2015-04-10,59,53,70,15,67,15,70,良,O3
2015-04-09,40,45,66,12,57,13,66,良,O3
2015-04-08,38,40,57,13,44,10,57,良,O3
2015-04-07,29,38,45,9,39,13,45,优,-
2015-04-06,29,26,47,8,35,15,47,优,-
2015-04-05,67,41,44,12,54,23,67,良,PM2.5
2015-04-04,89,64,44,15,68,33,89,良,PM2.5
2015-04-03,92,53,44,14,55,30,92,良,PM2.5
2015-04-02,59,60,62,14,58,18,62,良,O3
2015-04-01,77,52,36,17,83,23,83,良,NO2
2015-03-31,93,65,97,16,74,25,97,良,O3
2015-03-30,55,38,60,10,45,18,60,良,O3
2015-03-29,117,71,110,20,75,25,117,轻度污染,PM2.5
2015-03-28,105,71,88,15,92,23,105,轻度污染,PM2.5
2015-03-27,38,31,55,10,58,15,58,良,NO2
2015-03-26,33,41,71,11,37,13,71,良,O3
2015-03-25,28,39,59,11,42,13,59,良,O3
