location,skillset,age,dayRate,yearsFreelance,charge,requestDeposit,workRelationships,gender,dayRateCat
Scotland,mixed,25-29,240,6-9,By the project,25-50%,direct,Male,200-299
South West,DEV,25-29,250,2-5,By the hour,25-50%,mixed,Male,200-299
London,DEV,30-34,£250,2-5,By the project,0-10%,direct,Male,200-299
South West,mixed,20-24,250,2-5,By the day,25-50%,?,Male,200-299
London,mixed,25-29,250,2-5,By the day,notUsually,mixed,Male,200-299
Scotland,mixed,30-34,250,2-5,Varies per project,25-50%,direct,Male,200-299
London,DEV,20-24,250,0-1,By the day,25-50%,mixed,Male,200-299
South West,DEV,25-29,£250,0-1,By the day,25-50%,agencies,Male,200-299
South East,DEV,20-24,250,0-1,By the hour,notUsually,agencies,Male,200-299
South East,mixed,25-29,£250,0-1,By the hour,25-50%,mixed,Male,200-299
