id,shopName,shopAddress,lat,lng
1,肯德基崇明崇明餐厅,城桥镇八一路118号,31.625383944739,121.40239447246
2,肯德基崇明八一餐厅,城桥镇八一路488号,31.63205955813,121.40358333399
3,肯德基卢湾香港广场餐厅,淮海中路282号香港广场商场北座地下一层NBL04室,31.22973155762,121.48147227686
4,肯德基卢湾永新百货店餐厅,淮海中路887-909号永新百货(近茂名南路),31.223597378283,121.46769982868
5,肯德基卢湾柳林店餐厅,淮海中路1号(近西藏南路),31.230862128016,121.48658564292
6,肯德基卢湾五里桥店餐厅,打浦路603号农工商超市(近中山南一路),31.200999161379,121.48103499431
7,肯德基卢湾华狮店(暂停营业)餐厅,淮海中路688号华狮广场B1楼(近思南路),31.225860882703,121.47190436378
8,肯德基卢湾蒙自路店餐厅,卢湾区蒙自路25号,31.214533227377,121.48344157992
9,肯德基卢湾日月光广场店餐厅,卢湾区徐家汇路618号日月光中心广场B2楼,31.213349630525,121.47450853529
10,肯德基卢湾打浦桥餐厅,徐家汇路679号,31.211019868424,121.47483183544
11,肯德基卢湾瑞金餐厅,徐家汇路618号B2层商铺号B2-F-13,31.211794115937,121.47477733435
12,肯德基卢湾永业餐厅,蒙自路25号,31.214533227377,121.48344157992
13,肯德基南汇鸿音餐厅,南汇南芦公路1755号4-5幢,30.920696112408,121.8215474894
14,肯德基杨浦四平餐厅,四平路903号,31.281002544625,121.50781966909
15,肯德基杨浦淞沪餐厅,凇沪路8号7楼,31.249161710015,121.48789948569
16,肯德基杨浦淞沪路二店餐厅,淞沪路8号百联又一城B1楼(近邯郸路),31.30725462479,121.52246313765
17,肯德基杨浦延吉餐厅,靖宇东路270号,31.295005502365,121.54184848072
18,肯德基杨浦万达餐厅,邯郸路608弄50号,31.307273338654,121.52043424549
19,肯德基杨浦大润发店餐厅,黄兴路1616号(近国权路),31.293739176647,121.5280908474
20,肯德基杨浦中原餐厅,中原路188号,31.323764034499,121.53883616232
21,肯德基杨浦源泉餐厅,控江路1100号,31.285939150386,121.53562747073
22,肯德基杨浦国顺餐厅,国顺东路188号,31.306824687739,121.54253218105
23,肯德基杨浦长海餐厅,长海路361号,31.315743718978,121.53315654129
24,肯德基杨浦凤城店(暂停营业)餐厅,控江路1498号(近凤城路),31.281766824552,121.52788666705
25,肯德基杨浦双辽路店餐厅,双辽路768号,31.279694504809,121.5219719442
26,肯德基杨浦嫩江餐厅,中原路102号,31.319635635967,121.5389714085
27,肯德基杨浦沪东餐厅,平凉路1500号,31.27124419719,121.54569125203
28,肯德基杨浦政民餐厅,政民路300号,31.307639458036,121.51262355813
29,肯德基杨浦怀德餐厅,平凉路675号,31.264003944448,121.53163169284
30,肯德基杨浦周家嘴餐厅,周家嘴路4295号,31.29304896196,121.55993237584
31,肯德基杨浦邯郸餐厅,邯郸路585号地下一层B-2、B-8-1、B-8-3,31.304716997657,121.51995446141
32,肯德基杨浦控江餐厅,双辽路768号,31.279694504809,121.5219719442
33,肯德基普陀长寿餐厅,长寿路401号,31.24576440803,121.44353442232
34,肯德基普陀万航店餐厅,长寿路1188号(近万航渡路),31.235904418215,121.43357508879
35,肯德基普陀金沙江餐厅,金沙江路1685号,31.236571831829,121.38511274978
36,肯德基普陀真北家乐福店餐厅,桃浦路328号家乐福(近大渡河路),31.265870987911,121.40070908873
37,肯德基普陀武宁餐厅,武宁路197号,31.245084797749,121.42907673412
38,肯德基普陀中环餐厅,真光路1288号,31.250968716155,121.39098474563
39,肯德基普陀长风餐厅,金沙江路588号,31.238212161162,121.4082984929
40,肯德基普陀志丹路店餐厅,志丹路135号,31.268322010497,121.43719490696
41,肯德基普陀宜川路店(暂停营业)餐厅,宜川路93号(近华阴路),31.265924254154,121.44670265602
42,肯德基普陀兰溪路店餐厅,021-62604031,31.249161710015,121.48789948569
43,肯德基普陀沪太餐厅,中山北路1015号,31.264954128501,121.45659058594
44,肯德基普陀万里餐厅,新村路1500号,31.273860806929,121.41706144877
45,肯德基普陀铜川餐厅,铜川路1688号,31.258245742993,121.39541128168
46,肯德基普陀桃浦餐厅,雪松路368号,31.290924401566,121.3602295066
47,肯德基普陀管弄餐厅,管弄路290号,31.260628471391,121.43111741475
48,肯德基普陀长征餐厅,杨柳青路768号,31.24955782634,121.40572495181
49,肯德基普陀曹杨路店餐厅,普陀区武宁路225号沪西工人文化宫内,31.24143547786,121.44840755005
50,肯德基普陀景畔餐厅,大渡河路196号,31.229045146432,121.40144490784
51,肯德基普陀国盛时尚店餐厅,普陀区大渡河路588号国盛时尚购物中心1楼,31.230698867481,121.40243191922
52,肯德基普陀芳汇餐厅,长寿路1118号,31.23684233516,121.43381542055
53,肯德基普陀杨柳青路店餐厅,普陀区杨柳青路768号乐天玛特超市旁,31.24955782634,121.40572495181
54,肯德基普陀恒达休闲广场店餐厅,普陀区白丽路237-257号,31.286524999726,121.35492537278
55,肯德基普陀红柳路店餐厅,普陀区红柳路,31.29911070218,121.36150519564
56,肯德基普陀真北餐厅,桃浦路328号,31.265870987911,121.40070908873
57,肯德基普陀沪西餐厅,曹杨路520号,31.244208424487,121.42539548263
58,肯德基普陀嘉华餐厅,大华路352号106-107室,31.275979276096,121.42079931776
59,肯德基普陀云岭餐厅,大渡河路588号,31.230698867481,121.40243191922
60,肯德基普陀恒达广场餐厅,白丽路263-267号,31.287188338428,121.35474418187
61,肯德基普陀曹杨餐厅,兰溪路137号,31.245068154303,121.41197935272
62,肯德基普陀甘泉餐厅,志丹路135号,31.268322010497,121.43719490696
