id,shopName,shopAddress
1,肯德基奉贤奉城餐厅,奉城镇城大路151号
1,肯德基奉贤南桥餐厅,解放中路400号
1,肯德基奉贤环城餐厅,南桥环城东路1468号
1,肯德基奉贤阳光小区餐厅,南亭公路601号
1,肯德基虹口瑞虹餐厅,临平路123号
1,肯德基虹口玉田餐厅,曲阳路566号
1,肯德基虹口通州餐厅,通州路300号
1,肯德基虹口永安餐厅,四川北路1818号
1,肯德基虹口逸仙餐厅,逸仙路580号
1,肯德基虹口杨树浦店餐厅,杨树浦路61号(近浦江海关)
1,肯德基虹口七浦路店餐厅,七浦路133号兴旺国际服饰城1楼(近河南北路)
1,肯德基虹口新港路店餐厅,新港路245号卜蜂莲花内(近四平路)
1,肯德基虹口盛邦国际店餐厅,四川北路1318号盛邦国际B1楼(近武进路)
1,肯德基虹口车站南路店餐厅,车站南路370弄(近水电路)
1,肯德基虹口同心店餐厅,同心路1号华联吉买盛内(近东江湾路)
1,肯德基虹口新市店餐厅,新市北路1422号(近丰镇路)
1,肯德基虹口河南北路店餐厅,河南北路117号
1,肯德基虹口金浦餐厅,七浦路258号一，二层
1,肯德基虹口虹口龙之梦店餐厅,虹口区西江湾路388号虹口凯德龙之梦购物中心B2楼
1,肯德基虹口四川北路店餐厅,虹口区四川北路850号
1,肯德基虹口东江湾餐厅,东江湾路444号
1,肯德基虹口赤峰餐厅,中山北一路422号（广纪路65号对面）赤峰路轻轨站1楼
1,肯德基虹口东华店餐厅,虹口区四川北路848号
1,肯德基虹口四平路二店餐厅,虹口区四平路
1,肯德基虹口联富餐厅,河南北路99号
1,肯德基虹口新福海餐厅,四川北路1318号地下一层103单元
1,肯德基虹口金运餐厅,金沙江西路1051弄1063室
1,肯德基虹口洲海餐厅,外高桥保税区台中南路2号新贸楼1层
1,肯德基虹口凉城联华餐厅,车站南路370弄
1,肯德基虹口天宝餐厅,新港路229-245号1楼11号
1,肯德基黄浦和平餐厅,西藏中路290号
1,肯德基黄浦新世界餐厅,南京西路2-68号
1,肯德基黄浦海潮店餐厅,陆家浜路436号(近大兴街)
1,肯德基黄浦丽园餐厅,西藏南路1118号
1,肯德基黄浦福州餐厅,福州路556号
1,肯德基黄浦肇周餐厅,西藏南路666号
1,肯德基黄浦迪美餐厅,人民大道221号地下一层
1,肯德基黄浦曼克顿餐厅,南京东路463-477号
1,肯德基黄浦外滩店餐厅,中山东二路105号
1,肯德基黄浦南洋餐厅,南京东路558号
1,肯德基黄浦豫园餐厅,福佑路234号
1,肯德基黄浦三阳餐厅,南京东路626-636号一层和二层
1,肯德基黄浦中华餐厅,中华路1405号
1,肯德基黄浦方浜中路店餐厅,方浜中路265(近城隍庙豫龙坊)
