id,shopName,shopAddress,lat,lng
1,麦当劳卢湾无限度广场店餐厅,淮海中路138号无限度广场B001-102(近普安路),31.230625924981,121.4842423043
2,麦当劳卢湾淮海百盛店餐厅,淮海中路918号(近陕西南路),31.223520256731,121.46620733629
3,麦当劳卢湾打浦店餐厅,瑞金南路1号海兴广场(近徐家汇路),31.210437237315,121.47406253469
4,麦当劳卢湾新华联店餐厅,淮海中路755号新华联商厦B1楼(近瑞金二路),31.2245441727,121.47045385371
5,麦当劳卢湾新天地餐厅餐厅,"业路123弄新天地广场南里6,7号楼,兴业路与马当路路口以东约50米路南",31.225652040323,121.48087773695
6,麦当劳卢湾日月光广场店餐厅,卢湾区徐家汇路618号日月光中心广场B2-F-22号商铺,31.213349630525,121.47450853529
7,麦当劳卢湾汇暻广场店餐厅,卢湾区瞿溪路968号汇暻生活广场1楼,31.204955115279,121.48375362341
8,麦当劳卢湾瞿溪路店餐厅,卢湾区瞿溪路691号,31.207775446487,121.489875129
9,麦当劳卢湾海华店餐厅,卢湾区打浦路8号海华商厦内,31.211171112774,121.47598262139
10,麦当劳卢湾上海打浦桥餐厅,上海市卢湾区瑞金南路1号,31.210437237315,121.47406253469
11,麦当劳卢湾上海日月光餐厅,"徐家汇路618号B2,F22-23",31.211794115937,121.47477733435
12,麦当劳奉贤南桥镇店餐厅,奉贤区南桥镇人民路188号(人民中路周家弄),30.920837149261,121.46535668858
13,麦当劳奉贤南奉公路店餐厅,奉贤区南奉公路9777弄18号(江海路口),30.916669928967,121.4638033387
14,麦当劳奉贤江海路店餐厅,奉贤江海路418-422号,30.916302447564,121.46415797953
15,麦当劳奉贤古华店餐厅,人民中路196号,30.920766009245,121.46536580998
16,麦当劳奉贤上海奉贤餐厅,上海市南桥镇人民路188号,30.920837149261,121.46535668858
17,麦当劳奉贤上海理想广场餐厅,奉贤南桥江海路418号-422号,30.916302447564,121.46415797953
18,麦当劳青浦青安路店餐厅,青浦区青安路55-59号(青安路青赵公路),31.155404751387,121.12310229287
19,麦当劳青浦奥特莱斯店餐厅,青浦区嘉松中路5555号奥特莱斯C区二楼215号铺(近沪青平公路),31.167352384806,121.23250544505
20,麦当劳青浦上海青浦餐厅,上海市青安路55-59号,31.155404751387,121.12310229287
21,麦当劳青浦上海青浦奥特莱斯餐厅,嘉松中路5555号C区二层215号,31.167352384806,121.23250544505
22,麦当劳静安中信泰富店餐厅,静安区南京西路1168号中信泰富广场B1楼,31.234852866308,121.46215554366
23,麦当劳静安静安寺店餐厅,静安区万航渡路12-24号(近愚园路),31.230040341252,121.45057685006
24,麦当劳静安四季坊店餐厅,静安区吴江路169号四季坊B1楼B101号铺,31.23618982252,121.46808952259
25,麦当劳静安仙乐斯店餐厅,静安区南京西路388号仙乐斯广场1楼,31.237425620589,121.47542397328
26,麦当劳静安芮欧百货店餐厅,静安区南京西路1601号芮欧百货B2楼,31.229861170895,121.4539317247
27,麦当劳静安悦达889广场店餐厅,静安区万航渡路889号悦达889广场B1楼,31.23619458004,121.43435580611
28,麦当劳静安上海静安寺餐厅,上海市静安区万航渡路12-24号,31.230040341252,121.45057685006
29,麦当劳静安上海中信泰富餐厅,南京西路1168号地下一层麦当劳,31.23479850105,121.46246666279
30,麦当劳静安上海新华联餐厅,淮海中路777号,31.224615243501,121.47000478719
31,麦当劳静安上海北广场２餐厅,中兴路1666号202室,31.258184932421,121.4617828376
32,麦当劳静安上海吴江路餐厅,石门一路333弄1号地下一层,31.235751270457,121.46829639336
33,麦当劳静安上海悦达889餐厅,万航渡路889号悦达889广场地下一层,31.23619458004,121.43435580611
34,麦当劳静安上海越洋广场餐厅,南京西路1601号B2层B208,31.229360020759,121.45408183604
35,麦当劳静安上海汇暻生活广场餐厅,鲁班路615号6号楼2层,31.204337771202,121.48401920635
36,麦当劳静安上海淮海百盛餐厅,淮海路918号淮海百盛B1层,31.113492876697,121.39495379085
37,麦当劳松江松江大学城店餐厅,松江区文汇路718号(龙源路龙腾路间),31.055861943244,121.21216766365
38,麦当劳松江北九亭店餐厅,松江区九亭镇沪亭北路649号摩立盛会生活广场1楼(近涞寅路),31.155581999222,121.32121000961
39,麦当劳松江莘松路店餐厅,松江区莘松路1028号102室,31.105498142951,121.36218372532
40,麦当劳松江中山中路店餐厅,松江区中山中路168-188号,31.012816069414,121.24054666183
41,麦当劳松江开元地中海店餐厅,松江区新松江路925号开元地中海商业广场2楼,31.044705641538,121.22468029135
42,麦当劳松江上海松江餐厅,上海市中山中路168-188号,31.012816069414,121.24054666183
43,麦当劳松江上海九亭镇餐厅,上海松江区九亭镇沪亭北路637弄3-4号647/649(近涞演路),31.154973335429,121.3217103125
44,麦当劳松江上海开元地中海餐厅,上海市松江区新松江路927弄二层2001A室,31.044667763564,121.22733425808
45,麦当劳松江上海松江中心医院餐厅,上海市松江区中山中路720-722号,31.013072721436,121.22922980901
46,麦当劳金山纬零路店餐厅,金山区纬零路55号,30.835080777082,121.24840817975
47,麦当劳金山金一东路店餐厅,金一东路158号,30.719118286417,121.34594484282
48,麦当劳金山上海金山餐厅,上海市卫零路55号,30.719246363837,121.3460654601
49,麦当劳金山上海万安街公园路餐厅,上海市金山区朱泾镇万安街845号,30.902581116405,121.16786398239
50,麦当劳闸北站太店餐厅,闸北区天目西路218号太平洋百货1楼(近民立路),31.252003912431,121.46329256218
51,麦当劳闸北临汾店餐厅,闸北区共和新路4330号(近临汾路),31.317178613888,121.45463572673
52,麦当劳闸北闸北公园店餐厅,闸北区洛川东路500号(近共和新路),31.27450200441,121.46507219523
