北京,1286
广东,663
江苏,516
上海,407
四川,332
山东,329
浙江,219
河北,183
天津,178
辽宁,175
河南,173
湖北,168
安徽,157
福建,136
陕西,100
山西,96
湖南,83
江西,73
黑龙江,64
重庆,63
云南,63
内蒙古,60
广西,56
吉林,43
甘肃,38
新疆,33
贵州,30
海南,20
青海,17
西藏,5
宁夏,4
香港,3
